Issue Name Contains - SemRush,Issue Type - SemRush,Issue category - SemRush,Issue description - SemRush,How to fix - SemRush,Issue Name - ScreamingFrog,Issue Type - ScreamingFrog,Issue Priority - ScreamingFrog,Description ScreamingFrog,How To Fix - ScreamingFrog,sf_config_file,sf_export_tabs
Old security protocol version,Error,Security and HTTPS,"Running SSL or old TLS protocol (version 1.0) is a security risk, which is why it is strongly recommended that you implement the newest protocol versions.",Update your security protocol to the latest version.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Certificate registered to incorrect name,Error,Security and HTTPS,"If the domain or subdomain name to which your SSL certificate is registered doesn't match the name displayed in the address bar, web browsers will block users from visiting your website by showing them a name mismatch error, and this will in turn negatively affect your organic search traffic.","Contact your website administrator and ask them to install the correct certificate.
Since subdomains also require their own certificates, you can use a wildcard or multi-domain SSL certificate that allows you to secure multiple subdomains.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Issues with mixed content,Error,Security and HTTPS,"If your website contains any elements that are not secured with HTTPS, this may lead to security issues. Moreover, browsers will warn users about loading unsecure content, and this may negatively affect user experience and reduce their confidence in your website.","Only embed HTTPS content on HTTPS pages.
Replace all HTTP links with the new HTTPS versions. If there are any external links leading to a page that has no HTTPS version, remove those links.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Insecure encryption algorithms,Error,Security and HTTPS,"This issue is triggered when we connect to your web server and detect that it uses old or deprecated encryption algorithms. Using outdated encryption algorithms is a security risk that can have a negative impact on your user experience and search traffic. Some web browsers may warn users accessing your website about loading insecure content. This usually negatively affects their confidence in your website, thereby stopping them from going further, and as a result you may experience a drop in your organic search traffic.",Contact your website administrator and ask them to update encryption algorithms.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Links lead to HTTP pages for HTTPS site,Warnings,"Links, Security and HTTPS","If any link on website points to the old HTTP version of website, search engines can become confused as to which version of the page they should rank.",Replace all HTTP links with the new HTTPS versions.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
No SNI support,Warnings,Security and HTTPS,"One of the common issues you may face when using HTTPS is when your web server doesn't support Server Name Indication (SNI). Using SNI allows you to support multiple servers and host multiple certificates at the same IP address, which may improve security and trust.","Make sure that you web server supports SNI. Keep in mind that SNI is not supported by some older browsers, which is why you need to ensure that your audience uses browsers supporting SNI.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
No HSTS support,Notices,Security and HTTPS,"HTTP Strict Transport Security (HSTS) informs web browsers that they can communicate with servers only through HTTPS connections. So, to ensure that you don't serve unsecured content to your audience, we recommend that you implement HSTS support.",Use a server that supports HSTS.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Multiple Slashes,Issue,Low,URLs that have multiple forward slashes in the path (example.com/page1//). This is generally by mistake and as best practice URLs should only have a single slash between sections of a path to avoid any potential mix ups and duplicate URLs within the string. This is excluding use within the protocol (https://).,"Ideally only a single slash should be used for URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Contains A Space,Issue,Low,URLs that contain a space. These are considered unsafe and could cause the link to be broken when sharing the URL. Hyphens should be used as word separators instead of spaces.,"Ideally hyphens should be used as word separators, rather than spaces. However, changing URLs is a big decision.

If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Broken Bookmark,Issue,Low,"URLs that have a broken bookmark (also known as ‘named anchors’, ‘jump links’, and ‘skip links’) that link users to a specific part of a webpage using an ID attribute in the HTML and append a fragment (#) and the ID name to the URL.

When the link is clicked, the page will scroll to the location with the bookmark.

While these links can be excellent for users, it’s easy to make mistakes in the set-up, and they often become ‘broken’ over time as pages are updated and IDs are changed or removed.

A broken bookmark will mean the user is still taken to the correct page, but they won’t be directed to the intended section.

While Google will see these URLs as the same page (as it ignores anything from the #), they can use named anchors for ‘jump to’ links in their search results for the page ranking.",Review the pages that link to the broken bookmarks by using the ‘Inlinks’ tab and ensure this has the correct ID attribute that’s used on the page for the relevant section.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Non ASCII Characters,Warnings,Low,URLs with characters outside of the ASCII character-set. Standards outline that URLs can only be sent using the ASCII character-set and some users may have difficulty with subtleties of characters outside this range.,"URLs should be converted into a valid ASCII format, by encoding links to the URL with safe characters (made up of % followed by two hexadecimal digits). Today browsers and the search engines are largely able to transform URLs accurately.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Uppercase,Warnings,Low,"URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs.","Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Repetitive Path,Warnings,Low,"URLs that have repetitive paths or subfolders within the string (example.com/page1/page/page1/page2). In some cases this can be legitimate and logical, however it also often points to poor URL structure and potential improvements. It can also help identify issues with incorrect relative linking, causing infinite URLs.","While not always an issue repetitive paths aren't particularly user friendly, or could be causing crawling issues if due to incorrect relative linking. Ideally any URL should be as concise as possible. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: Internal Search,Warnings,Low,URLs that might be part of the websites internal search function. Google and other search engines recommend blocking internal search pages from being crawled to limit sometimes duplicate and low quality pages from being crawled and indexed.,"Most internal site searches are built for users, rather than search engines who may needlessly crawl and index them. As best practise most search sections of a site should not be linked to internally, and should be disallowed in robots.txt.",default_config.seospiderconfig,Internal:All
Too many URL parameters,Warnings,Crawlability,Using too many URL parameters is not an SEO-friendly approach. Multiple parameters make URLs less enticing for users to click and may cause search engines to fail to index some of your most important pages.,Try to use no more than three parameters in your URLs.,URL: Parameters,Warnings,Low,"URLs that include parameters such as '?' or '&'. This isn't an issue for Google or other search engines to crawl unless at significant scale, but it's recommended to limit the number of parameters in a URL which can be complicated for users, and can be a sign of low value-add URLs.","Where possible use a static URL structure without parameters for key indexable URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,URL: GA Tracking Parameters,Warnings,Low,"URLs that contain Google Analytics tracking parameters. In addition to creating duplicate pages that must be crawled, using tracking parameters on links internally can overwrite the original session data. utm= parameters strip the original source of traffic and starts a new session with the specified attributes. _ga= and _gl= parameters are used for cross-domain linking and identify a specific user, including this on links prevents a unique user ID from being assigned.","Remove the tracking parameters from links. Event Tracking is recommended in place of utm parameters for tracking additional interactions on a page such as downloads, link clicks, form submissions, and video plays.",default_config.seospiderconfig,Internal:All
Underscores in URL,Warnings,"Links, Crawlability","When it comes to URL structure, using underscores as word separators is not recommended because search engines may not interpret them correctly and may consider them to be a part of a word. Using hyphens instead of underscores makes it easier for search engines to understand what your page is about.
Although using underscores doesn't have a huge impact on webpage visibility, it decreases your page's chances of appearing in search results, as opposed to when hyphens are used.","Replace underscores with hyphens. However, if your page ranks well, we do not recommend that you do this.",URL: Underscores,Opportunity,Low,"URLs with underscores, which are not always seen as word separators by search engines.","Ideally hyphens should be used as word separators, rather than underscores. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
Too long URLs,Notices,"Links, Crawlability","According to Google, long URLs are not SEO friendly. Excessive URL length intimidates users and discourages them from clicking or sharing it, thus hurting your page's click-through rate and usability.",Keep your URLs at a reasonable length.,URL: Over 115 Characters,Opportunity,Low,"URLs that are more than the configured length. This is generally not an issue, however research has shown that users prefer shorter, concise URL strings.","Where possible use logical and concise URLs for users and search engines. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Missing <head> Tag,Issue,High,"Pages missing a <head> element within the HTML.

The <head> element is a container for metadata about the page, that’s placed between the <html> and <body> tag.

Metadata is used to define the page title, character set, styles, scripts, viewport and other data that’s critical to the page.

Browsers and Googlebot will automatically generate a <head> element if it’s omitted in the markup, however it may not contain meaningful metadata for the page and this should not be relied upon.",Ensure all pages have a valid <head> element with appropriate metadata for the document that is the first element in the <html> element,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Multiple <head> Tags,Issue,High,"Pages with multiple <head> elements in the HTML. There should only be one <head> element in the HTML which contains all critical metadata for the document. Browsers and Googlebot will combine metadata from subsequent <head> elements if they are both before the <body>, however this should not be relied upon and is open to potential mix-ups. Any <head> tags after the <body> starts will be ignored.",Ensure all pages have a single valid <head> element with appropriate metadata for the document that is the first element in the <html> element.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Missing <body> Tag,Issue,High,"Pages missing a <body> element within the HTML. The <body> element contains all the content of a page, including links, headings, paragraphs, images and more. There should be one <body> element in the HTML of the page. Browsers and Googlebot will automatically generate a <body> element if it's omitted in the markup, however this should not be relied upon.",Ensure all pages have a single valid <body> element with appropriate content for the document.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Multiple <body> Tags,Issue,High,"Pages with multiple <body> elements in the HTML. There should only be one <body> element in the HTML which contains all content for the document. Browsers and Googlebot will try to combine content from subsequent <body> elements, however this should not be relied upon and is open to potential mix ups.",Ensure all pages have a single valid <body> element with appropriate content for the document.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: HTML Document Over 15mb,Issue,High,"Pages which are over 15mb in document size. This is important as Googlebot limit their crawling and indexing to the first 15MB of an HTML file or supported text-based file.

This size does not include resources referenced in the HTML such as images, videos, CSS, and JavaScript that are fetched separately.

Google only considers the first 15MB of the file for indexing and stops crawling afterwards. The file size limit is applied on the uncompressed data.

The median size of a HTML file is about 30 kilobytes (kB), so pages are highly unlikely to reach this limit.","Ensure all pages are below 15mb in file size. Identify why the page is so ridiculously large, and consider any necessary improvements, such as moving inline CSS and scripts to external files or breaking up the page where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Resource Over 15mb,Issue,High,"JavaScript and CSS files which are over 15mb in size. This is important as Googlebot limit their crawling and indexing to the first 15MB of a file.

This means anything beyond this limit in JavaScript or CSS might not be processed.

Google only considers the first 15MB of the file for indexing and stops crawling afterwards. The file size limit is applied on the uncompressed data.","Ensure all resources are below 15mb in file size.

Identify why the resource is so large, and consider any necessary improvements to reduce file size where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: Invalid HTML Elements In <head>,Warnings,High,"Pages with invalid HTML elements within the <head>. When an invalid element is used in the <head>, Google assumes the end of the <head> element and ignores any elements that appear after the invalid element. This means critical <head> elements that appear after the invalid element will not be seen. The <head> element as per the HTML standard is reserved for title, meta, link, script, style, base, noscript and template elements only.","Ensure the <head> element only uses valid elements as per HTML specifications to ensure critical tags are seen by search engines. Common invalid elements include <img> and <iframe> elements. Google strongly recommend against including them in the <head>, but if you must, place these invalid elements after the ones you want Google to see.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: <body> Element Preceding <html>,Warnings,High,"Pages that have a body element (such as a <div>, <p> or <img> etc) preceding the opening <html> element.

Browsers and Googlebot will automatically assume the start of the <body> and generate an empty <head> element before it. This means the intended <head> element below and its metadata will be seen in the <body> and ignored.",Ensure <body> elements do not precede the <html> element and they are only in the <body> element.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: <head> Not First In <html> Element,Warnings,High,"Pages with an HTML element that proceed the <head> element in the HTML. The <head> should be the first element in the <html> element.

Browsers and Googlebot will automatically generate a <head> element if it’s not first in the HTML.

While ideally <head> elements would be in the <head>, if a valid <head> element is first in the <html> it will be considered as part of the generated <head>.

However, if non <head> elements such as <p>, <body>, <img> etc are used before the intended <head> element and its metadata, then Google assumes the end of the <head> element.

This means the intended <head> element and its metadata will be seen in the <body> and ignored.",Ensure all pages have a valid <head> element with appropriate metadata for the document that is the first element in the <html> element.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Validation: High Carbon Rating,Opportunity,Low,"Pages that have a carbon rating of F using the digital carbon ratings system from Sustainable Web Design.

This scale equates page weight tracked by the HTTP Archive with CO2 estimates per page view. The CO2 calculation uses the ‘The Sustainable Web Design Model’ for calculating emissions, which considers datacentres, network transfer and device usage in calculations.

The CO2 calculation and rating system can be used as a benchmark, as well as a catalyst to contribute to a more sustainable web.","Consider optimisation opportunities to reduce file size and CO2 emissions, and improve carbon footprint and rating.

The CO2 calculation and carbon rating can be integrated with analytics data to help prioritise which areas or URLs should be focused upon.

Review best practices and opportunities listed under the PageSpeed tab for more specific actions.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Non-200 Response,Issue,High,"AMP URLs which do not respond with a 200 ‘OK’ status code.

These will include URLs blocked by robots.txt, no responses, redirects, client and server errors.","Ensure AMP URLs are accessible, that they can be crawled and respond with a 200 status code for both users and search engines.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing Non-AMP Return Link,Issue,High,"AMP URLs that have a canonical non-AMP version that does not contain a rel=""amphtml"" URL back to the AMP URL. This could simply be missing from the non-AMP version, or there might be a configuration issue with the AMP canonical.","Ensure canonical and non-AMP versions of URLs contain a rel=""amphtml"" link to the AMP version so they are discoverable and confirm the relationship.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing Canonical to Non-AMP,Issue,High,"AMP URLs with a canonical that does not go to a non-AMP version, but to another AMP URL.","Ensure AMP canonical URLs correctly go to non-AMP equivalents, rather than to another AMP URL.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Non-Indexable Canonical,Issue,High,The AMP canonical URL is a non-indexable page. The non-AMP equivalent set as the canonical URL of the AMP should be an indexable page.,Update AMP canonical URLs so they correctly go to canonical and indexable non-AMP equivalents.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing <html amp> Tag,Issue,High,AMP HTML documents must contain a top-level HTML or HTML AMP tag.,Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing/Invalid Doctype HTML Tag,Issue,High,"AMP HTML documents must start with the doctype, doctype HTML.",Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing Head Tag,Issue,High,AMP HTML documents must contain head tags (they are optional in HTML).,Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing Body Tag,Issue,High,AMP HTML documents must contain body tags (they are optional in HTML).,Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
Missing canonical tags in AMP pages,Error,"Indexability, Mobile SEO, Canonicalization","This issue is triggered if your AMP page has no canonical tag.
When creating AMP pages, several requirements should be met:
- If you have both an AMP and a non-AMP version of the same page, you should place canonical tags on both versions to prevent duplicate content issues
- If you have only an AMP version of your webpage, it must have a self-referential canonical tag","Add a rel=""canonical"" tag in the <head> section of each AMP page.",AMP: Missing Canonical,Issue,High,"AMP URLs must contain a canonical tag inside their head that points to the regular HTML version of the AMP HTML document, or to itself if no such HTML version exists.",Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing/Invalid Meta Charset Tag,Issue,High,AMP HTML documents must contain a <meta charset=”UTF-8″> tag as the first child of their head tag.,Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing/Invalid Meta Viewport Tag,Issue,High,"AMP HTML documents must contain a:

<meta name=""viewport"" content=”width=device-width,minimum-scale=1″>

Tag inside their head tag. It’s also recommended to include initial-scale=1.",Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing/Invalid AMP Script,Issue,High,"AMP HTML documents must contain a:

<script async src=""https://cdn.ampproject.org/v0/amp-script-0.1.js""></script>

Tag inside their head tag.",Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Missing/Invalid AMP Boilerplate,Issue,High,AMP HTML documents must contain the AMP boilerplate code in their head tag.,Review the AMP HTML specification and update the AMP to meet the guidelines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Contains Disallowed HTML,Issue,High,AMP URLs with disallowed HTML for AMP according to the official AMP validator (https://validator.ampproject.org/).,Validate the AMP using the official AMP validator and remove or resolve any disallowed HTML issues identified.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Other Validation Errors,Issue,High,AMP URLs with validation errors for AMP using the official AMP validator (https://validator.ampproject.org/).,Validate the AMP using the official AMP validator and resolve any validation errors identified.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,AMP: Indexable,Warnings,High,"The AMP URL is indexable. AMP URLs with a non-AMP equivalent should be non-indexable (as they should have a canonical to the non-AMP equivalent).

Standalone AMP URLs (without an equivalent) should be indexable.","Analyse indexable AMP URLs identified to verify they are standalone pages. AMP URLs with a non-AMP equivalent should be non-indexable, with a canonical to the non-AMP version.",default_config.seospiderconfig,Internal:All
AMP Pages with HTML Issues,Error,"Indexability, Mobile SEO","In order for AMP pages to be served properly to mobile users, they must be compliant with AMP guidelines.
If your HTML doesn't adhere to AMP standards, your AMP page will not work correctly and may not be indexed by search engines, and, as a result, may not appear in mobile search results.","Since there are multiple reasons why your page's HTML may not comply with AMP standards, we provide specific how-to-fix tips for each invalid AMP page. These tips are provided in the 'Issue Description' column on the page that lists all pages with HTML issues.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
AMP Pages with Style and Layout Issues,Error,"Indexability, Mobile SEO","In order for AMP pages to be served properly to mobile users, they must be compliant with AMP guidelines.
If the style and layout of your AMP page do not adhere to AMP standards, the page will not work correctly and may not be indexed by search engines, and, as a result, may not appear in mobile search results.","Since there are multiple reasons why your page's style and layout may not comply with AMP standards, we provide specific how-to-fix tips for each invalid AMP page. These tips are provided in the 'Issue Description' column on the page that lists all pages with style and layout issues.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
AMP Pages with Templating Issues,Error,"Indexability, Mobile SEO","In order for AMP pages to be served properly to mobile users, they must be compliant with AMP guidelines.
If your AMP page includes templating syntax, it will not work correctly and may not be indexed by search engines, and, as a result, may not appear in mobile search results.","Since there are different types of templating issues that your AMP page can have, we provide specific how-to-fix tips for each invalid AMP page. These tips are provided in the 'Issue Description' column on the page that lists all pages with templating issues.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Duplicate content,Error,"Duplicates, Indexability","Webpages are considered duplicates if their content is 85% identical.
Having duplicate content may significantly affect your SEO performance.
First of all, Google will typically show only one duplicate page, filtering other instances out of its index and search results, and this page may not be the one you want to rank.
In some cases, search engines may consider duplicate pages as an attempt to manipulate search engine rankings and, as a result, your website may be downgraded or even banned from search results.
Moreover, duplicate pages may dilute your link profile.","Here are a few ways to fix duplicate content issues:
- Add a rel=""canonical"" link to one of your duplicate pages to inform search engines which page to show in search results
- Use a 301 redirect from a duplicate page to the original one
- Use a rel=""next"" and a rel=""prev"" link attribute to fix pagination duplicates
- Instruct GoogleBot to handle URL parameters differently using Google Search Console
- Provide some unique content on the webpage",Content: Exact Duplicates,Issue,High,"Pages that are identical to each other using the MD5 algorithm which calculates a ‘hash’ value for each page and can be seen in the ‘hash’ column.

This check is performed against the full HTML of the page. It will show all pages with matching hash values that are exactly the same.

Exact duplicate pages can lead to the splitting of PageRank signals, crawling inefficiencies and unpredictability in ranking.","There should only be a single canonical version of a URL that exists and is linked to internally. Other versions should not be linked to, and they should be 301 redirected to the canonical version.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Spelling Errors,Issue,Medium,"Pages which contain spelling errors. Spelling, punctuation and grammar issues are a poor experience for users.

While this does not affect SEO directly, Google’s own search quality evaluator guidelines outline spelling and grammar errors numerous times as one of the characteristics of low-quality pages.",Correct any spelling errors on the page to improve user experience and ensure the search engines can understand and rank your content accurately.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Grammar Errors,Issue,Medium,"Pages which contain grammar errors. Grammar, punctuation and spelling issues are a poor experience for users.

While this does not affect SEO directly, Google’s own search quality evaluator guidelines outline spelling and grammar errors numerous times as one of the characteristics of low-quality pages.",Correct any grammar errors on the page to improve user experience and ensure the search engines can understand and rank your content accurately.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Soft 404 Pages,Warnings,High,"Pages that respond with a '200' status code suggesting they are 'OK', but appear to be an error page - often referred to as a '404' or 'page not found'. These typically should respond with a 404 status code if the page is no longer available. These pages are identified by looking for common error text used on pages, such as 'Page Not Found', or '404 Page Can't Be Found'. The text used to identify these pages can be configured under 'Config > Spider > Preferences'.","Soft 404 pages should be reviewed and if true error pages should be configured to return a '404' status code. All links on a website should ideally resolve to working pages for users. Links to error pages should be updated to their correct locations, removed and redirected where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Lorem Ipsum Placeholder,Warnings,High,"Pages that contain 'Lorem ipsum' text that is commonly used as a placeholder to demonstrate the visual form of a webpage. This can be left on web pages by mistake, particularly during new website builds.","Review pages that contain 'Lorem ipsum' text and ensure any placeholder text is replaced with unique, original and relevant copy for the web page.",default_config.seospiderconfig,Internal:All
Duplicate content,Error,"Duplicates, Indexability","Webpages are considered duplicates if their content is 85% identical.
Having duplicate content may significantly affect your SEO performance.
First of all, Google will typically show only one duplicate page, filtering other instances out of its index and search results, and this page may not be the one you want to rank.
In some cases, search engines may consider duplicate pages as an attempt to manipulate search engine rankings and, as a result, your website may be downgraded or even banned from search results.
Moreover, duplicate pages may dilute your link profile.","Here are a few ways to fix duplicate content issues:
- Add a rel=""canonical"" link to one of your duplicate pages to inform search engines which page to show in search results
- Use a 301 redirect from a duplicate page to the original one
- Use a rel=""next"" and a rel=""prev"" link attribute to fix pagination duplicates
- Instruct GoogleBot to handle URL parameters differently using Google Search Console
- Provide some unique content on the webpage",Content: Near Duplicates,Warnings,Medium,"Pages that are near duplicate in content based upon the configured similarity threshold (set at 90% by default) using the minhash algorithm.

Near duplicate pages can cause cannibalisation issues, crawling and indexing inefficiencies and might be a sign of low quality page content.","Having very similar pages can cause cannibalisation issues and crawling and indexing inefficiencies.

Very similar pages should be minimised and high similarity could be a sign of low-quality pages, which haven’t received much love – or just shouldn’t be separate pages in the first place.

Analyse the near duplicates, considering importance of the page and scale. Then improve content to make more unique if necessary, or consolidate, block, remove, or leave as they are where appropriate.",default_config.seospiderconfig,Internal:All
Low word count,Warnings,Indexability,"This issue is triggered if the number of words on your webpage is less than 200.
The amount of text placed on your webpage is a quality signal to search engines.
Search engines prefer to provide as much information to users as possible, so pages with longer content tend to be placed higher in search results, as opposed to those with lower word counts.",Improve your on-page content and be sure to include more than 200 meaningful words.,Content: Low Content Pages,Opportunity,Medium,"Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.",Consider including additional descriptive content to help the user and search engines better understand the page.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Readability Difficult,Opportunity,Low,"Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula.

Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience.

Copy that uses shorter sentences with less complex words is often easier to read and understand.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Content: Readability Very Difficult,Opportunity,Low,"Copy on the page is very difficult to read and best understood by university graduates according to the Flesch reading-ease score formula.

Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience.

Copy that uses shorter sentences with less complex words is often easier to read and understand.",default_config.seospiderconfig,Internal:All
www resolve issues,Error,"Duplicates, Crawlability","Normally, a webpage can be accessed with or without adding www to its domain name. If you haven’t specified which version should be prioritized, search engines will crawl both versions, and the link juice will be split between them. Therefore, none of your page versions will get high positions in search results.",Specify which version of your webpage you want to be the main one. Use Google Search Console data to define pages that are indexed. We recommend that you redirect an alternate version of your page to the preferred version via a 301 redirect.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Large HTML page size,Error,"Crawlability, Site Performance","A webpage’s HTML size is the size of all HTML code contained on it. A page size that is too large (i.e., exceeding 2 MB) leads to a slower page load time, resulting in a poor user experience and a lower search engine ranking.",Review your page’s HTML code and consider optimizing its structure and/or removing inline scripts and styles.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Low text to HTML ratio,Warnings,Indexability,"Your text to HTML ratio indicates the amount of actual text you have on your webpage compared to the amount of code. This issue is triggered when your text to HTML is 10% or less.
Search engines have begun focusing on pages that contain more content. That's why a higher text to HTML ratio means your page has a better chance of getting a good position in search results.
Less code increases your page's load speed and also helps your rankings. It also helps search engine robots crawl your website faster.","Split your webpage's text content and code into separate files and compare their size. If the size of your code file exceeds the size of the text file, review your page's HTML code and consider optimizing its structure and removing embedded scripts and styles.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Viewport not configured,Error,"Crawlability, Mobile SEO",The viewport meta tag is an HTML tag that allows you to control a page's viewport size and scale on mobile devices. This tag is indispensable if you want to make your website accessible and optimized for mobile devices.,"Set the viewport meta tag for each page, and then test your website on a mobile device to make sure everything works fine.",Mobile: Viewport Not Set,Issue,High,"Pages without a viewport meta tag, or a viewport meta tag without a content attribute that includes the text width=.

Setting the viewport meta tag allows the width and scaling to be sized correctly on all devices.

Without this set, mobile devices will render pages at desktop screen widths and scale them down, making the text difficult to read.",Add a viewport meta tag with the appropriate key-value pairs to the <head> of the page so that it’s sized correctly on all devices.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Mobile: Content Not Sized Correctly,Issue,High,"Pages with content that is smaller or larger than the viewport width, which means it may not render correctly on mobile devices.

Lighthouse flags pages whose width isn’t equal to the width of the viewport.

Please note: This issue and PWA testing has been deprecated in Lighthouse. While this issue is not available via the PSI 'Remote' API option, it is still available via the PSI 'Local' option, as Screaming Frog has maintained support. This can be configured via 'Config > API Access > PSI'.",Follow best practices for responsive web design to ensure the page is mobile-friendly and will render correctly on mobile screens.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Mobile: Illegible Font Size,Issue,High,"Pages with small font sizes that can make it difficult to read for users on mobile devices.

Lighthouse will flag pages that have font sizes smaller than 12px, which make up more than 40% of the page text.",Review font sizes in the CSS and consider increasing them to at least 12 px on at least 60% of the text on the page for improved mobile usability.,default_config.seospiderconfig,Internal:All
